,news_source,model_name,mbc_text,mbc_word_count,clarity_0,clarity_1,relevance_0,relevance_1,informativeness_0,informativeness_1,verifiability_0,verifiability_1
10,Binghamton Press & Sun Bulletin,llama-3.3-72b-instruct,"**Background check**
Here's the updated information about the Binghamton Press & Sun Bulletin:
* Owned by: Gannett Company, Inc.
* Funding: Primarily through advertising and subscription revenue
* Revenue model: Mix of print and digital subscriptions, advertising, and sponsored content
* Bias: Generally considered to have a moderate bias, leaning slightly conservative
* Fact-checking: No notable failed fact-checks found
* Notable awards: Won several awards from the New York Press Association and the Associated Press
* Circulation: Serves the Binghamton, New York area with a daily circulation of around 20,000
* Online presence: Active website and social media accounts with a moderate following
* Parent company update: Gannett Company, Inc. has undergone significant changes, including mergers and acquisitions, which may impact the newspaper's operations and editorial direction.",127,2,2,3,3,2,2,1,1
11,The European Council on Foreign Relations (ECFR),gpt-5-mini,"**Background check**

- Name and type: European Council on Foreign Relations (ECFR) — pan‑European foreign‑policy think tank, founded 2007.

- Abbreviation: ECFR.

- Founder / leadership: Founded by Mark Leonard (co‑founder). Mark Leonard is listed as Director.

- Mission / focus: Produces research and policy recommendations on European foreign and security policy, geopolitics, EU external action, transatlantic relations, security; provides a meeting space for decision‑makers, activists and influencers.

- Geographic footprint / HQ: Pan‑European; offices in seven European capitals. Headquarters: Berlin.

- Revenue model: Primarily grant/donation based — project grants, foundation funding, government grants; supplemented by event sponsorships, partnerships and membership/network contributions. Not a commercial news publisher.

- Funding sources (general): Mix of governments/governmental agencies, philanthropic foundations, corporate donors and private individuals. Publishes donor information and annual reports on its website.

- Transparency: Publishes annual reports and donor lists online; project‑level funder information available on site.

- Editorial stance / bias: Policy‑oriented and advocacy leaning — generally pro‑European integration and supportive of a more active, coordinated EU foreign policy and transatlantic cooperation; typically described as centrist to centre‑liberal. Some critics characterize it as hawkish on Russia and China.

- Reputation and usage: Widely cited by European and international media; used by policymakers and researchers; influential in European foreign policy debates.

- Activities / outputs: Research reports, policy briefs, polling, commentary, events, and convenings (e.g., Annual Council Meeting). Runs public polling on European and global attitudes.

- Media coverage / polling examples: ECFR polling has been cited in major outlets on topics such as migration and global attitudes toward the West; its 2022–23 global polling was widely reported.

- Criticism / scrutiny: Some outlets and commentators describe ECFR as ""elite"" or government‑funded; critics (e.g., Geopolitical Economy) call it ""notoriously hawkish"" with alleged anti‑Russia/anti‑China bias. Such critiques focus on framing and agenda rather than documented individual factual errors.

- Conflicts of interest / scrutiny: Accepts state and institutional funding; potential influence on agendas is a recurring critique for think tanks generally. ECFR’s donor transparency mitigates but does not eliminate such concerns — assess per project/report.

- Reliability / quality: Research produced by credentialed fellows and staff; outputs range from empirical work to advocacy. Journalists should cross‑check factual claims and data with primary sources and independent datasets.

- Fact‑check record: No widely reported, major fact‑check failures by prominent fact‑checking organizations up to my 2024 cutoff. (Search fact‑check databases for post‑2024 updates.)

- Legal status / governance: Non‑profit/policy institute governed by a board and national councils; not owned by a single private owner.

- Size, staffing & events: Multi‑office staff and a network of fellows across Europe; organises high‑level events and partnerships with foundations and national partners.

- Online / social presence: Active on social platforms (Twitter/X, Facebook, YouTube, LinkedIn) and publishes event materials and videos.

- Practical note for journalists: When using ECFR polling or policy claims, check the specific report’s methodology (sample sizes, sampling frames, urban vs. national samples, weighting), funding disclosures for the project, and corroborate key factual claims with primary sources or alternative datasets.

- Additional transparency detail (from your search): ECFR publicly lists specific donor names and (in many cases) amounts on its website; the level of detail has been sufficient for mainstream transparency assessments. Project‑level funder disclosures are available for many reports.

- Organizational detail (from your search): Operates with an executive leadership team, a board and national councils/networks of members across Europe; headquartered in Europe with multiple offices (HQ in Berlin).

- Note on use: ECFR is a policy research and advocacy organisation — not a fact‑checking outlet. Treat outputs as expert analysis with policy prescriptions and verify empirical claims as you would with any think‑tank research.

- Offer: I can pull the current donor list and recent project funders from ECFR’s website and summarize specific funders and amounts if you want a live, up‑to‑date snapshot.",639,2,2,3,3,3,3,2,2
12,Dundalk Eagle,mistral-7b-instruct-v0.3," **Background check: Dundalk Eagle (updated)**

1. **Publication Details:**
   - Name: Dundalk Eagle
   - Location: Dundalk, Maryland, USA
   - Founded: 2013
   - Website: www.dundalkeagle.com

2. **Ownership and Funding:**
   - The Dundalk Eagle is a locally owned and operated online newspaper.
   - The ownership details are not publicly disclosed on their website.

3. **Revenue Model:**
   - The Dundalk Eagle primarily generates revenue through online advertising.
   - They also offer sponsored content and classified ads.

4. **Editorial Policy:**
   - The Dundalk Eagle states that they are committed to providing local news, sports, and community information.
   - They do not appear to have a stated editorial policy regarding bias.

5. **Bias:**
   - While the Dundalk Eagle strives to present balanced news, some readers have expressed concerns about potential local bias, as is common with community newspapers.

6. **Fact-Checks:**
   - As of my last update, I could not find any significant instances of the Dundalk Eagle failing fact-checks by reputable fact-checking organizations. However, it is always important to verify information from multiple sources when possible.

7. **Additional Information:**
   - The Dundalk Eagle is not affiliated with any larger media conglomerate or publishing group.
   - The Dundalk Eagle's primary focus is on local news, sports, and community information in the Dundalk area.",206,2,2,3,3,1,1,1,1
13,Hartford Reporter,mistral-7b-instruct-v0.3," **Background check:** Hartford Reporter (updated)

1-7: Same as before

8. **Location:** Hartford Reporter is a local news outlet based in Hartford, Connecticut, USA.

9. **Ownership:** The ownership details of Hartford Reporter are not publicly disclosed on their website. This lack of transparency regarding ownership can make it difficult to determine potential biases or conflicts of interest.

10. **Funding:** The funding sources for Hartford Reporter are not clearly stated on their website. It is unclear whether they are funded through advertising, subscriptions, grants, or other means.

11. **History:** Hartford Reporter was founded in 2016, according to their website. They cover local news, politics, and events in the Hartford area.

12. **Staff:** The size and composition of their staff are not explicitly mentioned on their website. However, they do have a team of reporters, editors, and contributors.

13. **Bias:** Hartford Reporter does not appear to have a stated editorial policy or mission that would indicate a clear political or ideological bias. However, like any news outlet, they may have subtle biases that can influence their coverage.

14. **Fact-checks:** Hartford Reporter has not been found to have failed any significant fact-checks to date. However, it's essential to verify information from any news source, including Hartford Reporter, before sharing or relying on it. They have retracted an article due to misinterpreted data.

15. **Awards and Recognition:** Hartford Reporter has not been recognized with any major journalism awards.

16. **Partnerships and Affiliations:** Hartford Reporter is not affiliated with any major journalism organizations or networks. They do partner with other local news outlets and community organizations to cover events and share news.

17. **Contact Information:** Hartford Reporter can be contacted through their website's contact form, email, or phone number, which are all provided on their website. They also have a physical address in Hartford, Connecticut.",299,1,1,3,3,1,1,1,1
14,Patriotic Viral News,gpt-4o-mini,"**Background check**

1. **Name**: Patriotic Viral News
2. **Type**: Online news platform
3. **Bias**: Generally considered to have a conservative or right-wing bias.
4. **Funding**: Information on specific funding sources is not widely available; often relies on advertising and affiliate marketing.
5. **Revenue Model**: Likely generates income through ads, sponsored content, and affiliate marketing links.
6. **Fact-Check Failures**: Known for publishing misinformation and has been flagged by fact-checking organizations like Snopes and FactCheck.org for inaccuracies in various claims.
7. **Reputation**: Criticized for sensationalism and promoting conspiracy theories.
8. **Target Audience**: Primarily conservative readers; aligned with populist sentiments.
9. **Additional Information**: The platform is noted for its focus on viral content that resonates with its audience and may utilize clickbait headlines to attract views.

Please note that the information provided is subject to change and should be cross-referenced with current credible sources.",141,2,2,3,3,3,2,3,2
15,Houston Today,gpt-4o-mini,"**Background check**

1. **Name**: Houston Today
2. **Type**: Local news outlet
3. **Location**: Houston, Texas
4. **Funding**: Information on specific funding sources is not publicly available.
5. **Revenue Model**: Primarily supported through advertising, subscriptions, and potentially sponsored content.
6. **Affiliations**: Part of the broader network of local news providers in Houston.
7. **Bias**: General perception of local news outlets can vary; specific bias for Houston Today is not well-documented but should be analyzed through content.
8. **Fact-Checks**: No specific record of failed fact-checks; however, it's advisable to examine individual articles for verification.
9. **Coverage Focus**: Local news, community events, politics, and issues pertinent to Houston residents.
10. **Reputation**: Varies; local opinion and readership engagement can influence public perception.
11. **Additional Funding Info**: Information on specific funding sources is not publicly available.",131,2,2,3,3,1,1,1,1
16,Thomasville Times,mistral-7b-instruct-v0.3," **Background check: Thomasville Times (updated)**

1. **Publication Details:**
   - Name: Thomasville Times
   - Location: Thomasville, Georgia, USA
   - Type: Local newspaper
   - Website: [www.thomasvilletimes.com](http://www.thomasvilletimes.com)

2. **Ownership:**
   - Owner: SouthComm, a media company based in Atlanta, Georgia

3. **Funding:**
   - Funding model: Advertising-based

4. **History:**
   - Established in 1889 as the Thomasville Times-Enterprise
   - Renamed to Thomasville Times in 2016

5. **Circulation:**
   - Circulation: Approximately 4,000 copies daily (as of 2019)

6. **Bias:**
   - According to Ad Fontes Media, the Thomasville Times leans right on the political spectrum, but maintains a neutral fact-checking record.

7. **Awards:**
   - The Thomasville Times has won several awards, including the Georgia Press Association's General Excellence Award and the National Newspaper Association's General Excellence Award.

8. **Fact-checks:**
   - No known instances of significant factual errors or failures in fact-checking.

9. **Additional Information:**
    - The Thomasville Times is a local newspaper based in Thomasville, Georgia, with a circulation of approximately 4,000 copies daily. The newspaper is owned by SouthComm, a media company based in Atlanta, and operates on an advertising-based funding model. The Thomasville Times was established in 1889 and was renamed from the Thomasville Times-Enterprise to the Thomasville Times in 2016. According to Ad Fontes Media, the newspaper leans right on the political spectrum but maintains a neutral fact-checking record. The Thomasville Times has won several awards, including the Georgia Press Association's General Excellence Award and the National Newspaper Association's General Excellence Award. There are no known instances of significant factual errors or failures in fact-checking.",250,2,2,3,3,3,3,3,3
17,The Jakarta Post,llama-3.3-72b-instruct,"**Background check**
Here's what I know about The Jakarta Post:
* Ownership: Owned by PT Bina Media Tenggara, an Indonesian media company, which is part of the Kompas Gramedia Group, a diversified conglomerate, but according to recent information, it is owned by PT Niskala Media Tenggara, an Indonesian media company
* Funding: Generating revenue through advertising, subscriptions, and sponsored content
* Bias: Generally considered to have a moderate, independent stance, but with a slight lean towards liberal and pro-democracy views
* Revenue model: Primarily through advertising and subscriptions
* Fact-checking: Failed fact-checks have been reported by independent fact-checking organizations, such as the Indonesian Fact-Checkers Association, on a few occasions, mainly related to inaccurate reporting on local politics and social issues
* Language: Published in English
* Headquarters: Jakarta, Indonesia
* Circulation: Widely read in Indonesia and internationally, with a significant online presence and a circulation of about 40,000
* Awards: Received several awards for journalism excellence, including the Asian Media Awards and the Society of Publishers in Asia Awards
* Founding: Started as a collaboration between four Indonesian media groups (Golkar-backed Suara Karya, the Catholic-owned Kompas, the Protestant-owned Sinar Harapan, and the weekly Tempo) at the urging of Information Minister Ali Murtopo and politician Jusuf Wanandi
* Membership: Member of the Asia News Network
* Target audience: Targeted at foreigners and educated Indonesians, although the middle-class Indonesian readership has increased
* History: Took a more vocal pro-democracy point of view after a change in chief editors in 1991, and survived the 1997 Asian financial crisis
* Partnerships: Has content-sharing agreements with major media outlets, including China Daily, and has reposted content from Chinese state-owned media
* Financial struggles: Considering layoffs due to struggles with the pandemic
* Discourse structure: Studies have analyzed the discourse structure of The Jakarta Post's editorials, finding that they present a unique style and word choice in presenting text, and that the newspaper's coverage of certain issues, such as the Rohingya crisis, can be influenced by its own narrative and tendency towards particular ideas
* Earthquake and tsunami reporting: Has reported on natural disasters, such as earthquakes and tsunamis, in Indonesia, providing updates and quotes from officials and witnesses
* Critical discourse analysis: Has been the subject of critical discourse analysis studies, which have examined the newspaper's editorials and found that they present a particular discourse structure and social cognition, and that the newspaper's coverage of certain issues can be influenced by its own social context and cognition
* Political leaning: According to a study, The Jakarta Post tends to remain neutral, but may avoid discussing certain topics, such as LGBTQ+ issues, due to cultural and social sensitivities in Indonesia, and has been found to use political correctness, mainly conforming to liberal practices and avoiding discriminatory terms.
* Representation of social actors: A 2023 study found that The Jakarta Post tends to remain neutral in its representation of social actors, particularly in its coverage of the 2022 FIFA World Cup Qatar controversies, and may prioritize the needs and sensitivities of its Indonesian audience, avoiding discussions of taboo topics such as LGBTQ+ issues.
* Retractions: There is no available information on whether The Jakarta Post has retracted any articles, as the available research does not provide this information, but a 2023 study analyzed the newspaper's representation of social actors in its coverage of the 2022 FIFA World Cup Qatar controversies, finding that it remained neutral and avoided discussing certain topics due to cultural and social sensitivities in Indonesia.",581,1,2,3,3,3,2,3,3
18,Africa Check,llama-3.3-72b-instruct,"**Background check**
Here's the updated information about Africa Check:
* Non-profit organization
* Based in Johannesburg, South Africa, with offices in other African countries
* Founded in 2012
* Funded by:
	+ Bill and Melinda Gates Foundation
	+ Open Society Foundations
	+ National Endowment for Democracy
	+ Other private foundations and individual donors
	+ Omidyar Network (received a grant of up to $250k in 2014)
	+ Google News Initiative (received funds from the $3-million GNI Vaccine Counter-Misinformation Open Fund in 2021)
* Income also generated through grants and partnerships
* Mission: to promote accuracy and accountability in public debate and the media in Africa
* Independent and non-partisan
* No known instances of failed fact-checks, but they have been criticized for some of their methods and conclusions by various individuals and organizations
* Partner of the International Fact-Checking Network (IFCN) and adheres to their code of principles
* Has a diverse team of fact-checkers and editors from various African countries
* Founded by Peter Cunliffe-Jones after winning an International Press Institute news innovation contest sponsored by Google
* Modelled after FactCheck.org and PolitiFact.com
* Main team based in Johannesburg, South Africa at the University of the Witwatersrand's Journalism Department
* Launched in partnership with the Agence France Press foundation and the University of Witwatersrand's journalism department 
* Operates with offices in Johannesburg, Nairobi, Lagos, Dakar, and London, producing reports in English and French
* Initially funded by the Vienna-based International Press Institute in 2012, with a goal to diversify funding sources to avoid any single donor having a controlling influence
* Registered as a non-profit trust in South Africa (registration number IT000728/2015(C)) and as the Africa Check Foundation in Kenya, with representative offices in Nigeria and Senegal
* Financial accounts from 2012 to 2018 are available on the UK Companies House website, and from 2019 onwards are published in South Africa
* Director: Noko Makgato (appointed in March 2019), after Peter Cunliffe-Jones resigned as executive director to become the International Fact-Checking Network's senior adviser
* Has around 30 fact-checkers and employs a team including a Chief Editor, fundraising, training, and research services, and a head of digital communication
* Has received certifications from the International Fact-Checking Network (IFCN) and is listed as a member of the IFCN and the Duke Reporters' Lab's database of fact-checking organizations
* Claims to have no political leaning and maintains editorial independence, as stated by Valdez Onanina, a representative of Africa Check, during the 2024 Africa Facts Summit.
* Has successfully prompted corrections or retractions from other media outlets, including a correction from the television news program Carte Blanche regarding a claim about immigration from Malawi to South Africa.
* According to available information, Africa Check itself has not retracted any articles, but has been successful in debunking false claims and promoting fact-based public dialogue, with over 500,000 people reading and commenting on its reports in its first 18 months of operation.
* Additional confirmation of funding sources, including the Bill and Melinda Gates Foundation, Open Society Foundations, and National Endowment for Democracy, has been found through Google search.",514,2,2,3,3,3,3,3,3
19,WBTS - NBC 10 - Boston,gpt-4o-mini,"**Background check**

1. **Name**: WBTS - NBC 10 - Boston
2. **Type**: Local television station
3. **Affiliation**: NBC (National Broadcasting Company)
4. **Location**: Boston, Massachusetts
5. **Owner**: NBCUniversal Media, LLC
6. **Funding**: Primarily funded through advertising, local sponsorships, and affiliate fees from NBC.
7. **Content Focus**: News, weather, and sports coverage primarily for the Boston metropolitan area.
8. **Bias**: Generally considered to have a moderate political stance; however, individual reporting can sometimes reflect specific biases depending on the topic.
9. **Fact-checking**: No widely reported incidents of significant fact-check failures have been noted up to October 2023.
10. **Audience**: Local viewers in the Boston area, with a focus on delivering timely news relevant to the community.
11. **Digital Presence**: Active online with a website and social media platforms, providing news updates and video content.
12. **Technical Aspects**: Set design by Jack Morton Worldwide; lighting design by Spectrum401; fabrication by Mystic Scenic Studios; AV integration by Greg Gerner Inc.; display technology by Planar; lighting instruments from Cineo Lighting; studio cameras from Sony; studio robotics by Ross Video; and studio prompting by CueScript; the new set design debuted with the network’s relocation to the NBCUniversal Boston Media Center in January 2020.",198,2,2,2,2,1,1,1,1
